0,0,0
0.0003,0.0257,2.2869
0.0008,0.0521,2.8495
0.0016,0.0834,3.1653
0.0027,0.1142,3.0555
0.0041,0.1439,3.0628
0.0059,0.1752,3.1563
0.0079,0.2059,3.0745
0.0103,0.2369,3.0845
0.013,0.267,3.0415
0.016,0.2998,3.2332
0.0193,0.3293,2.9528
0.0228,0.3602,3.1365
0.0268,0.3931,3.2586
0.031,0.4225,2.9554
0.0356,0.4546,3.2116
0.0404,0.486,3.1236
0.0456,0.5164,3.0609
0.051,0.5486,3.2298
0.0569,0.5801,3.1427
0.063,0.6117,3.1506
0.0694,0.6425,3.0855
0.0762,0.6751,3.2587
0.0832,0.7069,3.1739
0.0906,0.7379,3.108
0.0983,0.7707,3.2837
0.1063,0.8028,3.2003
0.1147,0.834,3.1343
0.1233,0.8671,3.3113
0.1323,0.8995,3.2297
0.1416,0.9311,3.1642
0.1513,0.9645,3.3415
0.1613,0.9972,3.2618
0.1716,1.0291,3.1971
0.1822,1.0629,3.3742
0.1931,1.095,3.22
0.2044,1.129,3.3973
0.2161,1.1623,3.3206
0.228,1.1949,3.2575
0.2403,1.2283,3.3578
0.253,1.2637,3.5203
0.2659,1.2949,3.1335
0.2791,1.3305,3.5587
0.2928,1.3645,3.3983
0.3068,1.3979,3.3375
0.3211,1.433,3.511
0.3358,1.4667,3.3658
0.3508,1.5021,3.538
0.3662,1.5361,3.3948
0.3819,1.5709,3.4925
0.398,1.6068,3.5793
0.4144,1.6411,3.4385
0.4312,1.6772,3.6071
0.4483,1.7119,3.4685
0.4657,1.7475,3.5641
0.4835,1.7832,3.5784
0.5017,1.8199,3.6633
0.5203,1.856,3.5981
0.5392,1.8906,3.4735
0.5585,1.9285,3.7836
0.5781,1.9642,3.5732
0.5981,2.0008,3.665
0.6185,2.0383,3.7468
0.6393,2.0745,3.6179
0.6604,2.1116,3.7076
0.6819,2.1488,3.7216
0.7037,2.1861,3.7354
0.726,2.2243,3.8142
0.7486,2.2605,3.6248
0.7716,2.2996,3.9128
0.795,2.3368,3.7179
0.8187,2.3749,3.8027
0.8428,2.413,3.8156
0.8673,2.4513,3.8284
0.8923,2.4904,3.9022
0.9175,2.5276,3.7236
0.9432,2.5669,3.9337
0.9693,2.6063,3.937
0.9957,2.6439,3.7627
1.0225,2.6835,3.9669
1.0498,2.7233,3.9698
1.0774,2.7612,3.7999
1.1054,2.8019,4.0548
1.1338,2.8401,3.8234
1.1626,2.8802,4.0174
1.1918,2.9198,3.9639
1.2214,2.9602,4.0283
1.2514,2.9988,3.8673
1.2818,3.0394,4.0529
1.3126,3.0794,4.0009
1.3438,3.1195,4.0094
1.3754,3.1597,4.0177
1.4073,3.1993,3.9738
1.4398,3.2408,4.1421
1.4726,3.2807,3.9837
1.5058,3.3206,3.9977
1.5393,3.3617,4.1107
1.5734,3.4028,4.1098
1.6078,3.4424,3.9642
1.6427,3.4837,4.1275
1.6779,3.5245,4.0789
1.7136,3.5653,4.0843
1.7496,3.6062,4.0893
1.7861,3.6472,4.0941
1.823,3.6882,4.0986
1.8602,3.7287,4.0579
1.898,3.7707,4.2012
1.9361,3.8114,4.0608
1.9747,3.8525,4.1138
2.0135,3.8932,4.074
2.0529,3.9354,4.21
2.0927,3.9761,4.0748
2.1328,4.0169,4.0831
2.1734,4.059,4.2138
2.2144,4.0999,4.0823
2.2558,4.1412,4.1297
2.2977,4.1829,4.1702
2.3399,4.2234,4.0484
2.3826,4.2656,4.2148
2.4256,4.306,4.0512
2.4691,4.3486,4.2508
2.513,4.3887,4.0108
2.5573,4.4308,4.211
2.602,4.4717,4.0902
2.6471,4.5129,4.1306
2.6927,4.5546,4.1649
2.7385,4.5767,2.211
2.7842,4.5797,0.3005
2.8301,4.585,0.5222
2.876,4.5889,0.3937
2.922,4.5935,0.4571
2.9679,4.5972,0.37
3.0139,4.6011,0.3959
3.06,4.6053,0.42
3.106,4.6087,0.3357
3.1521,4.6126,0.3962
3.1983,4.6161,0.3486
3.2445,4.6192,0.3029
3.2908,4.6231,0.3957
3.337,4.6256,0.2469
3.3833,4.6286,0.3057
3.4296,4.6323,0.3614
3.476,4.6348,0.2496
3.5223,4.6372,0.2402
3.5687,4.6404,0.3279
3.6152,4.6426,0.219
3.6616,4.645,0.2415
3.7081,4.6474,0.2311
3.7546,4.6499,0.2519
3.8011,4.6517,0.1786
3.8476,4.6537,0.1999
3.8942,4.6559,0.2199
3.9408,4.6576,0.1781
3.9874,4.659,0.1375
4.034,4.6609,0.1873
4.0806,4.6623,0.146
4.1272,4.6634,0.1056
4.1739,4.6652,0.1828
4.2206,4.6661,0.083
4.2672,4.6668,0.0722
4.3139,4.6682,0.1471
4.3606,4.669,0.0767
4.4072,4.6691,0.0078
4.454,4.6705,0.137
4.5006,4.67,-0.0457
4.5474,4.6711,0.1097
4.5941,4.6707,-0.0444
4.6408,4.6712,0.0526
4.6875,4.6705,-0.0731
4.7342,4.6707,0.0217
4.7809,4.6699,-0.0772
4.8276,4.6692,-0.0666
4.8743,4.6687,-0.0573
4.921,4.6676,-0.1034
4.9676,4.6664,-0.1231
5.0143,4.665,-0.1439
5.0609,4.6633,-0.166
5.1076,4.6617,-0.1626
5.1541,4.6593,-0.2413
5.2007,4.6571,-0.2142
5.2473,4.6547,-0.2428
5.2937,4.6512,-0.3541
5.3402,4.6484,-0.2794
5.3867,4.6449,-0.3419
5.4331,4.6403,-0.4614
5.4795,4.6364,-0.3952
5.5258,4.6312,-0.5222
5.5721,4.6263,-0.4903
5.6183,4.62,-0.627
5.6644,4.6137,-0.6325
5.7104,4.6064,-0.7267
5.7564,4.5987,-0.7727
5.8023,4.5886,-1.0091
5.8478,4.5513,-3.7227
5.8928,4.5036,-4.7756
5.9374,4.4558,-4.7739
5.9815,4.4068,-4.8994
6.025,4.3568,-5.0072
6.0681,4.3062,-5.0602
6.1106,4.2533,-5.2899
6.1526,4.1995,-5.378
6.1941,4.144,-5.5476
6.2349,4.0866,-5.7422
6.2752,4.0266,-6.0047
6.3148,3.9642,-6.2334
6.3538,3.8992,-6.4998
6.3921,3.8299,-6.9378
6.4297,3.7569,-7.2911
6.4665,3.6785,-7.8476
6.5024,3.5946,-8.387
6.5374,3.5017,-9.2947
6.5715,3.4009,-10.0722
6.6043,3.2871,-11.3815
6.6359,3.1587,-12.8454
6.666,3.0102,-14.8375
6.6943,2.8329,-17.7417
6.7205,2.621,-21.1869
6.7441,2.3537,-26.7286
6.7642,2.0076,-34.6161
6.7795,1.5373,-47.039
6.7882,0.8676,-66.8629
6.8115,2.3253,145.8004
6.8513,3.9832,165.8348
6.8915,4.0251,4.189
6.9322,4.067,4.1872
6.9733,4.1092,4.2133
7.0148,4.1513,4.2171
7.0567,4.1934,4.2164
