0,0,0
0.0006,0.0493,4.0248
0.0015,0.1012,5.7908
0.003,0.1573,5.842
0.0051,0.2161,6.0019
0.0079,0.2757,6.0357
0.0112,0.3356,6.0475
0.0151,0.3957,6.0526
0.0197,0.4559,6.0551
0.0248,0.5162,6.0564
0.0305,0.5765,6.057
0.0369,0.6367,6.0573
0.0438,0.697,6.0573
0.0513,0.7572,6.0571
0.0596,0.8179,5.9972
0.0683,0.8787,6.1282
0.0778,0.9391,5.9952
0.0877,0.9998,6.1191
0.0983,1.06,5.9989
0.1096,1.1207,6.065
0.1214,1.1813,6.0565
0.1338,1.2417,6.0552
0.1467,1.302,6.0538
0.1604,1.3625,6.0139
0.1745,1.423,6.0984
0.1894,1.4831,6.0067
0.2049,1.5438,6.0225
0.2209,1.6044,6.0912
0.2376,1.6646,6.0076
0.2548,1.7251,6.0531
0.2726,1.7853,6.0445
0.2911,1.8455,6.0127
0.3101,1.9059,6.0479
0.3298,1.9662,6.0112
0.3501,2.0266,6.044
0.371,2.0868,6.0088
0.3925,2.1472,6.0394
0.4145,2.2073,6.0304
0.4371,2.2672,6.003
0.4604,2.3274,6.0071
0.4844,2.3876,6.0051
0.5088,2.4478,6.0252
0.5338,2.5077,6.0159
0.5595,2.5676,5.9695
0.5858,2.6276,6.0192
0.6127,2.6875,5.9647
0.6402,2.7476,6.0109
0.6683,2.8074,5.9774
0.6969,2.8671,5.9778
0.7262,2.9269,5.9733
0.7561,2.9865,5.9685
0.7865,3.0461,5.9633
0.8175,3.1056,5.9578
0.8492,3.1651,5.936
0.8815,3.2246,5.9496
0.9143,3.2839,5.9394
0.9476,3.3431,5.9323
0.9818,3.4023,5.8969
1.0163,3.4615,5.9363
1.0515,3.5204,5.8932
1.0873,3.5794,5.8896
1.1236,3.6382,5.8926
1.1607,3.6969,5.8575
1.1982,3.7556,5.8733
1.2364,3.8141,5.8484
1.2751,3.8724,5.838
1.3144,3.9307,5.8256
1.3543,3.9888,5.8036
1.3947,4.0468,5.8074
1.4358,4.1046,5.7762
1.4774,4.1622,5.7677
1.5196,4.2197,5.7448
1.5624,4.277,5.7266
1.6057,4.3341,5.7139
1.6496,4.391,5.6904
1.6941,4.4477,5.6676
1.7392,4.5042,5.6455
1.7848,4.5604,5.6221
1.8309,4.6163,5.5971
1.8777,4.6721,5.5686
1.9249,4.7274,5.5381
1.9727,4.7825,5.5128
2.0211,4.8374,5.481
2.07,4.8917,5.4357
2.1195,4.9458,5.4134
2.1694,4.9995,5.3693
2.22,5.0528,5.3322
2.2711,5.1056,5.2788
2.3226,5.158,5.2422
2.3747,5.21,5.1997
2.4273,5.2614,5.1398
2.4804,5.3123,5.0864
2.534,5.3625,5.0298
2.5882,5.4124,4.9785
2.6428,5.4613,4.8929
2.6979,5.5096,4.8386
2.7535,5.5576,4.7907
2.8095,5.6042,4.6603
2.866,5.6506,4.6395
2.923,5.6957,4.5073
2.9804,5.7402,4.4519
3.0382,5.7834,4.3222
3.0965,5.826,4.2611
3.1552,5.8676,4.1564
3.2143,5.9076,4.0044
3.2737,5.9467,3.9118
3.3335,5.9849,3.8151
3.3937,6.0215,3.6641
3.4544,6.0571,3.5593
3.5152,6.0905,3.3378
3.5765,6.1239,3.3426
3.638,6.154,3.0101
3.6998,6.1845,3.0523
3.762,6.2122,2.7623
3.8243,6.2385,2.637
3.887,6.2637,2.5132
3.9499,6.2864,2.2715
4.0129,6.3078,2.1465
4.0762,6.3286,2.0717
4.1397,6.3459,1.7349
4.2033,6.3631,1.7169
4.2671,6.3788,1.5734
4.331,6.3917,1.285
4.3951,6.4048,1.3148
4.4592,6.4158,1.1003
4.5235,6.4276,1.1826
4.5879,6.4365,0.8897
4.6521,6.425,-1.1505
4.7155,6.3349,-9.0075
4.7779,6.2437,-9.1307
4.8395,6.1574,-8.6215
4.9002,6.0717,-8.567
4.9601,5.9903,-8.1459
5.0192,5.9111,-7.9166
5.0776,5.838,-7.3135
5.1353,5.7749,-6.3081
5.1926,5.7206,-5.4343
5.2493,5.6755,-4.5114
5.3057,5.6394,-3.6089
5.3618,5.6137,-2.5649
5.4178,5.5944,-1.9304
5.4737,5.5852,-0.919
5.5294,5.5829,-0.2346
5.5854,5.5912,0.8333
5.6414,5.6054,1.4187
5.6977,5.6301,2.467
5.7542,5.6475,1.739
5.8104,5.6159,-3.1543
5.8662,5.58,-3.5931
5.9216,5.5491,-3.0941
5.9768,5.5205,-2.8595
6.0318,5.4923,-2.8107
6.0864,5.4637,-2.8667
6.1408,5.4388,-2.4887
6.1949,5.4114,-2.7414
6.2488,5.3872,-2.4166
6.3024,5.3609,-2.6296
6.3557,5.3345,-2.64
6.4089,5.31,-2.4519
6.4617,5.283,-2.7021
6.5143,5.2561,-2.6839
6.5665,5.2287,-2.7447
6.6185,5.2012,-2.7466
6.6702,5.1717,-2.9538
6.7217,5.1433,-2.8402
6.7728,5.1115,-3.1792
6.8236,5.0807,-3.0792
6.8741,5.049,-3.1683
6.9243,5.0152,-3.3796
6.9741,4.9817,-3.3519
7.0235,4.9461,-3.5593
7.0727,4.9113,-3.4769
7.1214,4.8735,-3.791
7.1697,4.8369,-3.6568
7.2178,4.7984,-3.8494
7.2653,4.7585,-3.9872
7.3125,4.7189,-3.9634
7.3593,4.678,-4.0928
7.4057,4.6368,-4.1172
7.4516,4.5938,-4.2909
7.4971,4.5507,-4.3148
7.5422,4.5078,-4.2839
7.5868,4.4625,-4.5403
7.631,4.4179,-4.4653
7.6747,4.3726,-4.5229
7.718,4.3259,-4.6724
7.7608,4.2794,-4.6394
7.8031,4.2316,-4.7818
7.8449,4.1842,-4.7467
7.8863,4.1358,-4.8368
7.9271,4.087,-4.8844
7.9676,4.0381,-4.8854
8.0075,3.9879,-5.0112
8.0468,3.9378,-5.0153
8.0857,3.8877,-5.012
8.1241,3.8368,-5.0865
8.1619,3.7852,-5.1657
8.1993,3.7344,-5.0807
8.236,3.6818,-5.2675
8.2724,3.6303,-5.1475
8.3081,3.5774,-5.2867
8.3434,3.5249,-5.2415
8.3781,3.4715,-5.3427
8.4123,3.4182,-5.3374
8.446,3.3652,-5.2821
8.4791,3.3107,-5.4491
8.5116,3.2568,-5.4112
8.5437,3.2032,-5.3534
8.5752,3.1484,-5.4743
8.6062,3.0937,-5.4651
8.6364,3.0386,-5.525
8.6664,2.9845,-5.3956
8.6956,2.9284,-5.6177
