0,0,0,0
0.0004,0.0378,3.3087,0.0114
0.0012,0.08,4.4686,0.0209
0.0024,0.1266,4.9654,0.0302
0.0041,0.1742,4.8139,0.0401
0.0064,0.2237,4.8863,0.0503
0.0091,0.2729,4.9967,0.0601
0.0123,0.3221,4.9037,0.0702
0.0159,0.3711,4.9732,0.08
0.0202,0.4208,4.8582,0.0902
0.0249,0.4701,5.0138,0.1001
0.0301,0.5195,4.8772,0.1102
0.0357,0.5685,4.9896,0.12
0.0419,0.6177,4.885,0.1301
0.0486,0.6669,4.9393,0.1401
0.0558,0.7162,4.9163,0.1501
0.0634,0.7652,4.9361,0.16
0.0716,0.8147,4.8878,0.1701
0.0801,0.8636,4.9458,0.18
0.0893,0.9129,4.8934,0.1901
0.0989,0.9619,4.9125,0.2001
0.1091,1.011,4.9032,0.2101
0.1196,1.0599,4.9095,0.22
0.1307,1.1087,4.8957,0.23
0.1423,1.1576,4.8846,0.24
0.1543,1.2065,4.881,0.25
0.1669,1.2552,4.889,0.26
0.18,1.3043,4.8686,0.2701
0.1934,1.3527,4.8795,0.28
0.2075,1.4015,4.8688,0.29
0.222,1.4501,4.8475,0.3001
0.237,1.4986,4.8584,0.31
0.2524,1.5471,4.8532,0.32
0.2684,1.5955,4.8377,0.33
0.2848,1.6438,4.8313,0.34
0.3018,1.6922,4.8245,0.3501
0.3191,1.7402,4.8212,0.36
0.3371,1.7885,4.8164,0.3701
0.3554,1.8364,4.7941,0.38
0.3742,1.8843,4.8045,0.39
0.3935,1.9321,4.7852,0.4
0.4134,1.9801,4.7759,0.41
0.4336,2.0276,4.7564,0.42
0.4544,2.0753,4.7703,0.43
0.4756,2.1227,4.7486,0.44
0.4973,2.17,4.7387,0.45
0.5195,2.2175,4.7308,0.46
0.5421,2.2645,4.7018,0.47
0.5652,2.3116,4.7204,0.48
0.5888,2.3587,4.6998,0.49
0.6128,2.4052,4.665,0.5
0.6374,2.4522,4.6921,0.51
0.6624,2.4986,4.645,0.52
0.6878,2.5451,4.6473,0.53
0.7137,2.5914,4.6343,0.54
0.7401,2.6378,4.6289,0.55
0.767,2.6837,4.5912,0.56
0.7943,2.7297,4.5937,0.57
0.822,2.7754,4.5794,0.58
0.8502,2.821,4.5648,0.59
0.8789,2.8666,4.5608,0.6
0.908,2.9118,4.5162,0.61
0.9376,2.9572,4.5316,0.62
0.9675,3.0018,4.4713,0.63
0.9981,3.0472,4.5344,0.64
1.029,3.0913,4.4164,0.65
1.0603,3.1363,4.4906,0.66
1.0921,3.1804,4.4168,0.67
1.1244,3.2248,4.4373,0.68
1.1571,3.2686,4.3818,0.69
1.1901,3.3124,4.387,0.7
1.2237,3.3563,4.3876,0.71
1.2578,3.3998,4.3467,0.72
1.2922,3.443,4.31,0.73
1.327,3.4861,4.3169,0.74
1.3624,3.5293,4.3199,0.75
1.3981,3.5719,4.2554,0.76
1.4341,3.6144,4.2641,0.77
1.4708,3.6574,4.292,0.78
1.5077,3.6989,4.15,0.79
1.5451,3.7415,4.2653,0.8
1.583,3.7835,4.1913,0.81
1.6212,3.8246,4.1237,0.82
1.6599,3.8672,4.2459,0.83
1.6989,3.9077,4.0584,0.84
1.7385,3.95,4.219,0.85
1.7784,3.9902,4.0249,0.86
1.8187,4.0318,4.1657,0.87
1.8594,4.0724,4.057,0.88
1.9006,4.1135,4.1084,0.89
1.9421,4.1534,4.0004,0.9
1.984,4.1947,4.123,0.91
2.0264,4.2352,4.0425,0.92
2.0691,4.2748,3.9676,0.93
2.1123,4.3159,4.101,0.94
2.1558,4.3553,3.9512,0.95
2.1998,4.3963,4.0925,0.96
2.2442,4.436,3.9762,0.97
2.2889,4.4758,3.9767,0.98
2.3341,4.5167,4.0901,0.99
2.3796,4.556,3.9351,1
2.4256,4.5966,4.0582,1.01
2.472,4.6368,4.0211,1.02
2.5187,4.6767,3.9878,1.03
2.5659,4.7175,4.0787,1.04
2.6135,4.758,4.0454,1.05
2.6614,4.7977,3.9747,1.06
2.7099,4.8398,4.2024,1.07
2.7587,4.8793,3.9571,1.08
2.8079,4.9208,4.1538,1.09
2.8575,4.9621,4.1275,1.1
2.9076,5.0041,4.1927,1.11
2.958,5.0449,4.0815,1.12
3.0089,5.0873,4.2461,1.13
3.0602,5.1291,4.1809,1.14
3.1119,5.1722,4.3035,1.15
3.164,5.2146,4.2404,1.16
3.2166,5.2578,4.3219,1.17
3.2696,5.3018,4.4022,1.18
3.323,5.3447,4.2956,1.19
3.377,5.39,4.5257,1.2
3.4313,5.4337,4.3703,1.21
3.4861,5.4793,4.5577,1.22
3.5414,5.5243,4.5005,1.23
3.597,5.5702,4.5929,1.24
3.6532,5.617,4.6825,1.25
3.7098,5.6633,4.6267,1.26
3.767,5.7105,4.7213,1.27
3.8246,5.7582,4.765,1.28
3.8826,5.8058,4.7612,1.29
3.9412,5.8549,4.9042,1.3
4.0002,5.9033,4.8488,1.31
4.0597,5.9533,4.9911,1.32
4.1198,6.0026,4.9353,1.33
4.1803,6.0529,5.0293,1.34
4.2413,6.1031,5.024,1.35
4.3028,6.1552,5.2097,1.36
4.3649,6.2058,5.0543,1.37
4.4275,6.2582,5.2417,1.38
4.4906,6.31,5.1825,1.39
4.5542,6.3632,5.3155,1.4
4.6183,6.4152,5.2094,1.41
4.683,6.4696,5.4343,1.42
4.7483,6.5228,5.3218,1.43
4.8141,6.5769,5.4025,1.44
4.8803,6.6307,5.3879,1.45
4.9472,6.6858,5.5087,1.46
5.0146,6.7407,5.4861,1.47
5.0825,6.7953,5.4679,1.48
5.1511,6.8512,5.5815,1.49
5.2202,6.9063,5.5132,1.5
5.2897,6.9621,5.5804,1.51
5.36,7.0185,5.6398,1.52
5.4307,7.0738,5.5286,1.53
5.5019,7.1305,5.6764,1.54
5.5739,7.1874,5.684,1.55
5.6463,7.2431,5.5725,1.56
5.7193,7.3002,5.7118,1.57
5.7929,7.357,5.6768,1.58
5.8671,7.4139,5.6849,1.59
5.9417,7.4704,5.6545,1.6
6.0168,7.5035,3.3053,1.61
6.0919,7.5127,0.9179,1.62
6.167,7.5221,0.9469,1.63
6.2424,7.5326,1.0523,1.64
6.3178,7.5418,0.9154,1.65
6.3933,7.5512,0.9396,1.66
6.469,7.5608,0.9611,1.67
6.5446,7.5691,0.8295,1.68
6.6205,7.5787,0.965,1.69
6.6963,7.5871,0.834,1.7
6.7723,7.596,0.8911,1.71
6.8484,7.604,0.8005,1.72
6.9244,7.6122,0.8204,1.73
7.0006,7.6206,0.8382,1.74
7.0769,7.6284,0.7848,1.75
7.1534,7.6361,0.7679,1.76
7.2298,7.6433,0.7175,1.77
7.3063,7.651,0.769,1.78
7.3829,7.6582,0.7181,1.79
7.4594,7.6649,0.6696,1.8
7.5362,7.6724,0.7511,1.81
7.613,7.6787,0.6376,1.82
7.6899,7.6853,0.6549,1.83
7.7668,7.6917,0.6397,1.84
7.8437,7.6979,0.6248,1.85
7.9207,7.704,0.6102,1.86
7.9979,7.7103,0.6254,1.87
8.075,7.7158,0.5515,1.88
8.1523,7.7218,0.5969,1.89
8.2294,7.7267,0.4964,1.9
8.3069,7.733,0.6269,1.91
8.3843,7.7377,0.471,1.92
8.4616,7.7429,0.5161,1.93
8.5391,7.7482,0.531,1.94
8.6166,7.7531,0.4908,1.95
8.6943,7.7579,0.4791,1.96
8.7719,7.7623,0.4416,1.97
8.8495,7.7671,0.4834,1.98
8.9272,7.7716,0.4458,1.99
9.005,7.776,0.4352,2
9.0828,7.7802,0.4249,2.01
9.1607,7.7844,0.4148,2.02
9.2386,7.7884,0.405,2.03
9.3165,7.7924,0.3955,2.04
9.3945,7.7962,0.3862,2.05
9.4724,7.8,0.3771,2.06
9.5506,7.8039,0.3914,2.07
9.6285,7.807,0.313,2.08
9.7066,7.811,0.3974,2.09
9.7847,7.8142,0.32,2.1
9.863,7.8178,0.3573,2.11
9.9412,7.8208,0.3049,2.12
10.0194,7.824,0.3199,2.13
10.0977,7.8274,0.334,2.14
10.1759,7.8302,0.2836,2.15
10.2543,7.8334,0.3194,2.16
10.3328,7.8363,0.291,2.17
10.411,7.8387,0.2434,2.18
10.4895,7.8421,0.34,2.19
10.568,7.8445,0.2312,2.2
10.6465,7.8473,0.2861,2.21
10.7249,7.8497,0.2402,2.22
10.8035,7.8527,0.2932,2.23
10.8821,7.8548,0.2096,2.24
10.9605,7.8572,0.2435,2.25
11.0392,7.8599,0.2756,2.26
11.1177,7.8619,0.1948,2.27
11.1965,7.8645,0.2645,2.28
11.2751,7.8664,0.1856,2.29
11.3538,7.8688,0.2362,2.3
11.4325,7.8709,0.213,2.31
11.5112,7.873,0.2084,2.32
11.59,7.875,0.204,2.33
11.6687,7.877,0.1997,2.34
11.7475,7.879,0.1955,2.35
11.8263,7.8809,0.1914,2.36
11.9053,7.8829,0.204,2.37
11.984,7.8844,0.1499,2.38
12.063,7.8865,0.2128,2.39
12.1417,7.888,0.1431,2.4
12.2207,7.89,0.2049,2.41
12.2996,7.8915,0.1525,2.42
12.3785,7.8932,0.1654,2.43
12.4575,7.895,0.1775,2.44
12.5366,7.8964,0.143,2.45
12.6155,7.898,0.1556,2.46
12.6944,7.8995,0.1525,2.47
12.7735,7.9011,0.1644,2.48
12.8526,7.9024,0.1313,2.49
12.9315,7.9039,0.1436,2.5
13.0106,7.9054,0.1553,2.51
13.0897,7.9067,0.1233,2.52
13.1686,7.908,0.1354,2.53
13.2477,7.9095,0.1469,2.54
13.327,7.9108,0.1298,2.55
13.4078,8.1014,19.0961,2.56
13.4922,8.4352,33.3555,2.57
13.5765,8.4311,-0.4158,2.58
13.6607,8.4196,-1.1513,2.59
13.7448,8.4086,-1.0951,2.6
13.8288,8.3984,-1.0205,2.61
13.9126,8.3889,-0.9513,2.62
13.9965,8.3792,-0.9712,2.63
14.0801,8.3707,-0.8429,2.64
14.1638,8.3619,-0.8874,2.65
14.2473,8.354,-0.7869,2.66
14.3308,8.3461,-0.792,2.67
14.4142,8.3387,-0.7377,2.68
14.4975,8.3318,-0.6869,2.69
14.5808,8.3247,-0.714,2.7
14.6639,8.3186,-0.6095,2.71
14.747,8.312,-0.657,2.72
14.8302,8.3061,-0.5933,2.73
14.9131,8.3008,-0.5337,2.74
14.9961,8.2948,-0.5987,2.75
15.079,8.2899,-0.4884,2.76
15.1618,8.2847,-0.5194,2.77
15.2446,8.2799,-0.4816,2.78
15.3273,8.2753,-0.4622,2.79
15.4101,8.2707,-0.4597,2.8
15.4928,8.2666,-0.4094,2.81
15.5754,8.2625,-0.4089,2.82
15.6579,8.2585,-0.3925,2.83
15.7404,8.2546,-0.3921,2.84
15.823,8.251,-0.3612,2.85
15.9055,8.2475,-0.3467,2.86
15.9879,8.2442,-0.3327,2.87
16.0703,8.2386,-0.559,2.88
16.1523,8.1965,-4.2134,2.89
16.2337,8.1424,-5.4092,2.9
16.3146,8.0881,-5.4217,2.91
16.3949,8.0341,-5.4057,2.92
16.4748,7.9801,-5.4011,2.93
16.554,7.9265,-5.3619,2.94
16.6327,7.8729,-5.3621,2.95
16.7109,7.8192,-5.3692,2.96
16.7886,7.7661,-5.309,2.97
16.8657,7.7128,-5.3341,2.98
16.9423,7.6597,-5.3091,2.99
17.0184,7.6067,-5.2981,3
17.0939,7.5538,-5.2876,3.01
17.1689,7.501,-5.2775,3.02
17.2433,7.4484,-5.2678,3.03
17.3173,7.3957,-5.2677,3.04
17.3908,7.3433,-5.2369,3.05
17.4637,7.2909,-5.2412,3.06
17.5361,7.2384,-5.2418,3.07
17.608,7.1863,-5.2126,3.08
17.6793,7.134,-5.2262,3.09
17.7501,7.0821,-5.1979,3.1
17.8204,7.0299,-5.2118,3.11
17.8902,6.9781,-5.1844,3.12
17.9594,6.9262,-5.1985,3.13
18.0282,6.8744,-5.1801,3.14
18.0964,6.8226,-5.174,3.15
18.1642,6.7709,-5.1682,3.16
18.2313,6.7194,-5.1545,3.17
18.298,6.6677,-5.1691,3.18
18.3642,6.6161,-5.1599,3.19
18.4298,6.5648,-5.1273,3.2
18.4949,6.5133,-5.1538,3.21
18.5595,6.4619,-5.1374,3.22
18.6237,6.4105,-5.1405,3.23
18.6873,6.3594,-5.1091,3.24
18.7503,6.3081,-5.1358,3.25
18.8129,6.2568,-5.1276,3.26
18.875,6.2057,-5.1045,3.27
18.9366,6.1546,-5.1121,3.28
18.9976,6.1035,-5.1084,3.29
19.0581,6.0525,-5.1048,3.3
19.1181,6.0015,-5.1013,3.31
19.1776,5.9504,-5.1053,3.32
19.2366,5.8996,-5.0832,3.33
19.2951,5.8487,-5.0914,3.34
19.3531,5.7977,-5.0956,3.35
19.4105,5.7471,-5.0666,3.36
19.4675,5.6961,-5.1012,3.37
19.524,5.6452,-5.0754,3.38
19.5799,5.5947,-5.0582,3.39
19.6353,5.5438,-5.093,3.4
19.6902,5.4932,-5.0603,3.41
19.7447,5.4424,-5.0765,3.42
19.7986,5.3918,-5.0555,3.43
19.852,5.3412,-5.0647,3.44
19.905,5.2904,-5.0696,3.45
19.9573,5.2401,-5.0416,3.46
20.0092,5.1893,-5.077,3.47
20.0606,5.1388,-5.0519,3.48
20.1115,5.0883,-5.0428,3.49
20.1619,5.0378,-5.0525,3.5
20.2117,4.9873,-5.0508,3.51
20.2611,4.9367,-5.0563,3.52
20.31,4.8864,-5.0358,3.53
20.3583,4.8359,-5.046,3.54
20.4062,4.7855,-5.0445,3.55
20.4535,4.735,-5.0504,3.56
20.5004,4.6847,-5.0299,3.57
20.5467,4.6343,-5.0406,3.58
20.5925,4.5839,-5.0394,3.59
20.6379,4.5334,-5.0456,3.6
20.6827,4.4833,-5.0179,3.61
20.727,4.4327,-5.0559,3.62
20.7709,4.3825,-5.0234,3.63
20.8142,4.3321,-5.0348,3.64
20.857,4.2818,-5.0341,3.65
20.8994,4.2313,-5.0409,3.66
20.9412,4.1812,-5.013,3.67
20.9825,4.1308,-5.0451,3.68
21.0232,4.0805,-5.0322,3.69
21.0635,4.0302,-5.032,3.7
21.1033,3.9799,-5.0318,3.71
21.1426,3.9295,-5.0318,3.72
21.1814,3.8792,-5.0318,3.73
21.2197,3.8289,-5.0319,3.74
21.2575,3.7787,-5.0244,3.75
