0,0,0,-0.0001
0.0005,0.0488,4.5454,-0.0004
0.0014,0.0935,4.79,-0.001
0.003,0.153,5.7927,-0.002
0.0051,0.2142,6.2501,-0.0036
0.0079,0.2749,5.9661,-0.0057
0.0112,0.3361,6.1915,-0.0083
0.0152,0.3969,6.0062,-0.0114
0.0197,0.4581,6.1669,-0.0151
0.0248,0.5181,6.1342,-0.0192
0.0308,0.5789,5.9276,-0.0239
0.037,0.6404,6.2653,-0.0292
0.044,0.7004,6.0209,-0.0348
0.0517,0.7615,6.0588,-0.0411
0.0599,0.8226,6.141,-0.0479
0.0688,0.8835,6.0513,-0.0553
0.0782,0.9446,6.1371,-0.0632
0.0883,1.0054,6.0558,-0.0716
0.0989,1.0664,6.1345,-0.0805
0.1102,1.127,6.0595,-0.0899
0.122,1.188,6.1328,-0.0999
0.1344,1.2486,6.0628,-0.1104
0.1476,1.3097,6.0796,-0.1216
0.1613,1.3708,6.1328,-0.1332
0.1756,1.4316,6.0689,-0.1454
0.1904,1.4926,6.1321,-0.1582
0.2061,1.5534,6.0263,-0.1715
0.2221,1.6148,6.1926,-0.1854
0.239,1.6753,6.0174,-0.1998
0.2563,1.7367,6.1468,-0.2148
0.2743,1.7976,6.078,-0.2304
0.2928,1.8586,6.1338,-0.2465
0.312,1.9193,6.08,-0.2632
0.3318,1.9802,6.0952,-0.2805
0.3522,2.0413,6.097,-0.2984
0.3733,2.1024,6.0988,-0.3169
0.3949,2.1636,6.1371,-0.336
0.4172,2.2245,6.052,-0.3557
0.4401,2.286,6.1521,-0.3761
0.4636,2.3469,6.0907,-0.397
0.4875,2.4079,6.14,-0.4184
0.5122,2.4686,6.0593,-0.4405
0.5376,2.5299,6.1221,-0.4633
0.5635,2.5911,6.1103,-0.4868
0.5899,2.6523,6.1441,-0.5108
0.6171,2.7131,6.0674,-0.5354
0.6449,2.7744,6.1282,-0.5608
0.6733,2.8357,6.1164,-0.5868
0.7021,2.8968,6.1486,-0.6134
0.7318,2.9576,6.0455,-0.6407
0.762,3.0193,6.1783,-0.6687
0.7927,3.0802,6.109,-0.6974
0.8242,3.1413,6.0951,-0.7267
0.8562,3.2027,6.1398,-0.7568
0.8888,3.2639,6.1278,-0.7876
0.9221,3.3251,6.1013,-0.8191
0.9558,3.3865,6.1732,-0.8512
0.9904,3.4474,6.064,-0.8841
1.0254,3.5091,6.19,-0.9178
1.0612,3.5699,6.0688,-0.9522
1.0974,3.6317,6.1934,-0.9873
1.1344,3.6926,6.0735,-1.0232
1.172,3.7543,6.1701,-1.06
1.2101,3.8156,6.1445,-1.0974
1.2488,3.8767,6.1202,-1.1356
1.2882,3.9381,6.1364,-1.1746
1.3282,3.9996,6.1387,-1.2145
1.3689,4.0576,5.7941,-1.2552
1.4096,4.072,1.4429,-1.2964
1.4503,4.0724,0.0364,-1.3379
1.491,4.0728,0.0365,-1.3796
1.5317,4.0731,0.0365,-1.4214
1.5724,4.0735,0.0365,-1.4635
1.6133,4.0737,0.0227,-1.5059
1.654,4.0744,0.0644,-1.5485
1.6947,4.0746,0.0226,-1.5912
1.7354,4.075,0.0366,-1.6342
1.7762,4.0753,0.0366,-1.6773
1.8169,4.0757,0.0365,-1.7206
1.8578,4.0759,0.0225,-1.7643
1.8985,4.0766,0.0645,-1.8081
1.9392,4.0768,0.0223,-1.852
1.9801,4.077,0.0223,-1.8963
2.0208,4.0777,0.0644,-1.9407
2.0615,4.0779,0.022,-1.9852
2.1023,4.0781,0.022,-2.03
2.1432,4.0786,0.05,-2.0751
2.1839,4.0791,0.05,-2.1203
2.2247,4.0792,0.0074,-2.1657
2.2655,4.0797,0.0496,-2.2114
2.3063,4.08,0.0353,-2.2572
2.3472,4.0802,0.021,-2.3033
2.3879,4.0809,0.0632,-2.3496
2.4287,4.0811,0.0205,-2.396
2.4696,4.0813,0.0203,-2.4426
2.5104,4.0818,0.0483,-2.4895
2.5512,4.0821,0.0339,-2.5365
2.5921,4.0824,0.0336,-2.5837
2.6329,4.0828,0.0333,-2.6311
2.6736,4.0831,0.0329,-2.6786
2.7145,4.0833,0.0184,-2.7264
2.7554,4.0837,0.0463,-2.7744
2.7962,4.0841,0.0317,-2.8226
2.837,4.0844,0.0313,-2.8709
2.8778,4.0847,0.0308,-2.9193
2.9187,4.0848,0.0163,-2.968
2.9596,4.0853,0.044,-3.0169
3.0004,4.0856,0.0293,-3.0659
3.0412,4.0859,0.0287,-3.115
3.0822,4.086,0.0141,-3.1644
3.123,4.0864,0.0416,-3.2139
3.1639,4.0867,0.0268,-3.2635
3.2047,4.0869,0.0262,-3.3133
3.2456,4.0871,0.0114,-3.3632
3.2865,4.0874,0.0387,-3.4133
3.3273,4.0877,0.0239,-3.4635
3.3682,4.0878,0.0091,-3.5139
3.4091,4.0881,0.0361,-3.5644
3.45,4.0883,0.0213,-3.6149
3.4909,4.0884,0.0065,-3.6657
3.5318,4.0887,0.0332,-3.7165
3.5727,4.0889,0.0183,-3.7674
3.6135,4.0891,0.0172,-3.8184
3.6544,4.0891,0.0024,-3.8695
3.6954,4.0893,0.0151,-3.9207
3.7364,4.1058,1.653,-3.9721
3.778,4.1645,5.8723,-4.024
3.8203,4.2258,6.1282,-4.0768
3.8632,4.2875,6.1639,-4.1304
3.9066,4.3489,6.1495,-4.1848
3.9508,4.41,6.1053,-4.24
3.9955,4.4718,6.1749,-4.2961
4.0408,4.5331,6.1464,-4.3529
4.0867,4.5942,6.1026,-4.4104
4.1332,4.6558,6.1699,-4.4688
4.1804,4.7169,6.0995,-4.5279
4.2283,4.7784,6.1446,-4.5879
4.2767,4.8397,6.1287,-4.6485
4.3256,4.9009,6.1256,-4.7098
4.3753,4.962,6.1023,-4.7718
4.4255,5.0233,6.1313,-4.8345
4.4763,5.0843,6.1139,-4.8977
4.5278,5.1451,6.0708,-4.9616
